,0,1
0,None,None
1,None,None
2,if DrugA_gene11 < -1.1699805 and DrugA_gene20 < 0.26210386 and DrugA_gene64 >= 0.460568 and DrugA_gene129 < -0.77744156 and DrugA_gene131 < 0.37926936 and DrugA_gene177 >= 0.21494268 and DrugA_gene277 >= -0.4638962 and DrugA_gene288 < -0.7319509 and DrugA_gene413 >= 0.22464335 and DrugA_gene437 >= 3.3266764 and DrugA_gene600 < -0.24291465 and DrugA_gene634 >= -0.33402556 and DrugA_gene752 < 0.116137855 and DrugA_gene821 >= -0.4105773 and DrugB_gene11 < -2.1291175 and DrugB_gene20 >= 1.815682 and DrugB_gene47 >= 2.8212104 and DrugB_gene64 >= 1.0465791 and DrugB_gene74 >= 0.23793676 and DrugB_gene151 >= 0.3284493 and DrugB_gene177 >= -0.39457572 and DrugB_gene195 >= 0.55545336 and DrugB_gene277 >= 0.5016787 and DrugB_gene288 >= 1.0885423 and DrugB_gene408 < -0.37087068 and DrugB_gene413 < -0.2662165 and DrugB_gene437 < -0.30060405 and DrugB_gene600 >= 0.1292549 and DrugB_gene634 >= 0.5288614 and DrugB_gene752 < 0.33238688 and GO:0051353 >= 94.791336 and GO:0050999 < 4.584619 and compress_node_level_boost_feature_0 >= 31.879091 and compress_LAYER_level_boost_feature_1 < 2.7073102 and then value = 5.8057004617,None
3,None,None
4,if DrugA_gene11 < -1.2313099 and DrugA_gene20 < -0.46826833 and DrugA_gene277 >= -0.4638962 and DrugA_gene413 >= 0.22464335 and DrugA_gene437 >= 0.26311883 and DrugA_gene634 < -0.9458671 and DrugB_gene131 < -0.29993552 and DrugB_gene151 >= 0.14190072 and DrugB_gene277 >= 0.30063385 and DrugB_gene437 >= -0.23414226 and DrugB_gene634 >= 0.5288614 and GO:0050999 < -58.449673 and compress_node_level_boost_feature_0 < -48.796455 and compress_LAYER_level_boost_feature_0 >= 150.16966 and compress_LAYER_level_boost_feature_1 < -53.10262 and then value = 0.41576747854,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene74 < 0.5160344 and DrugA_gene129 >= 0.26065713 and DrugA_gene131 < 0.25889856 and DrugA_gene177 < -1.2904366 and DrugA_gene288 < -0.23023653 and DrugA_gene821 >= -0.16344284 and DrugB_gene2 >= 4.790452 and DrugB_gene11 >= 0.5597079 and DrugB_gene20 >= -0.20823982 and DrugB_gene47 < -1.0410901 and DrugB_gene74 >= -0.365697 and DrugB_gene223 < 1.7147665 and DrugB_gene413 < 0.45211798 and DrugB_gene600 < 0.16259685 and DrugB_gene634 >= 0.18773022 and DrugB_gene821 >= 0.3629685 and GO:0051353 >= 48.608986 and GO:0050999 >= 80.15286 and compress_node_level_boost_feature_0 >= 59.313736 and compress_LAYER_level_boost_feature_1 >= 69.51845 and then value = 4.00466479119,None
9,None,None
